Variable,Value
C_LCpCA,3175376327.259267
C_MCp2CA,0.000000
C_MCp1CA,0.000000
C_HCpCA,0.000000
C_CpCA,3175376327.259267
C_BufCA,0.000000
C_LBkCA,26548011.741898
C_MBkCA,585543030.291267
C_HBkCA,1957277322.911938
C_BkCA,2569368364.945103
C_Disp1CA,235137500.000000
C_Disp2CA,0.000000
C_DispCA,235137500.000000
C_LH2TkCA,0.000000
C_LH2PpCA,0.000000
C_LH2VapCA,0.000000
C_LH2CA,0.000000
C_ElecCA,46312170.351184
C_ElecOP,6721744.816873
WonOPEX,2047974502.458010
WonCAPEX,9269937716.333479
NPV,-0.000012
BCR,0.846217
IRR,0.034902
yr_Payback,19.642075
