Variable,Value
C_LCpCA,0.000000
C_MCp2CA,0.000000
C_MCp1CA,3382292867.119024
C_HCpCA,1150421682.357426
C_CpCA,4532714549.476450
C_BufCA,0.000000
C_LBkCA,0.000000
C_MBkCA,1293436433.406970
C_HBkCA,869175526.774078
C_BkCA,2162611960.181047
C_Disp1CA,235075000.000000
C_Disp2CA,347725000.000000
C_DispCA,582800000.000000
C_LH2TkCA,0.000000
C_LH2PpCA,0.000000
C_LH2VapCA,0.000000
C_LH2CA,0.000000
C_ElecCA,29788865.702787
C_ElecOP,0.000000
WonOPEX_0,2511180524.834417
WonCAPEX,11090590282.141054
NPV,0.000027
BCR,0.959445
IRR,0.059238
yr_Payback,17.368480
