Time,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10
0.5,10.1700995406497,0.997356334635368,5,5.04166666666667,5.01392756231535,21.0089916951563,0,0,0,0
1,10.1700995406497,0.997356334635368,5,5.04166666666667,5.01392756231535,21.0089916951563,0,0,0,0
1.5,10.1700995406497,0.997356334635368,5,5.04166666666667,5.01392756231535,21.0089916951563,0,0,0,0
2,10.1700995406497,0.997356334635368,5,5.04166666666667,5.01392756231535,21.0089916951563,0,0,0,0
2.5,10.1700995406497,0.997356334635368,5,5.04166666666667,5.01392756231535,21.0089916951563,0,0,0,0
3,10.1700995406497,0.997356334635368,5,5.04166666666667,5.01392756231535,21.0089916951563,0,0,0,0
3.5,10.1700995406497,0.997356334635368,5,5.04166666666667,5.01392756231535,21.0089916951563,0,0,0,0
4,10.1700995406497,0.997356334635368,5,5.04166666666667,5.01392756231535,21.0089916951563,0,0,0,0
4.5,10.1700995406497,0.997356334635368,5,5.04166666666667,5.01392756231535,21.0089916951563,0,0,0,0
5,10.1700995406497,0.997356334635368,5,5.04166666666667,5.01392756231535,21.0089916951563,0,0,0,0
5.5,10.1700995406497,0.997356334635368,5,5.04166666666667,5.01392756231535,21.0089916951563,0,0,0,0
6,10.1700995406497,0.997356334635368,5,5.04166666666667,5.01392756231535,21.0089916951563,0,0,0,0
6.5,10.1700995406497,0.997356334635368,5,5.04166666666667,5.01392756231535,21.0089916951563,0,0,0,0
7,10.1700995406497,0.997356334635368,5,5.04166666666667,5.01392756231535,21.0089916951563,0,0,0,0
7.5,10.1700995406497,0.997356334635368,5,5.04166666666667,5.01392756231535,21.0089916951563,0,0,0,0
8,10.1700995406497,0.997356334635368,5,5.04166666666667,5.01392756231535,21.0089916951563,0,0,0,0
8.5,10.1700995406497,0.997356334635368,5,5.04166666666667,5.01392756231535,21.0089916951563,0,0,0,0
9,10.1700995406497,0.997356334635368,5,5.04166666666667,5.01392756231535,21.0089916951563,0,0,0,0
9.5,10.1700995406497,0.997356334635368,5,5.04166666666667,5.01392756231535,21.0089916951563,0,0,0,0
10,10.1700995406497,0.997356334635368,5,5.04166666666667,5.01392756231535,21.0089916951563,0,0,0,0
10.5,10.1700995406497,0.997356334635368,5,5.04166666666667,5.01392756231535,21.0089916951563,20,0,0,0
11,10.179321771624,1.290580578353,5,5.08333333333333,5.01892382407696,21.0212401698079,20,0,3.59048280468732,0
11.5,10.1907477018934,1.59897141336372,5,5.125,5.02512520438328,21.0369993395942,20,0,4.64609008207082,0
12,10.2039755307045,1.85113331090943,5,5.16666666666667,5.03232075511232,21.0560857109309,20,0,5.75629708810941,0
12.5,10.2187597296978,2.06893539540408,5,5.20833333333333,5.04037985365622,21.0782767147551,20,0,6.66407991927395,0
13,10.2349306217955,2.26299247266333,5,5.25,5.0492122572755,21.1034096272098,20,0,7.44816742345468,0
13.5,10.2523621054068,2.43940259827575,5,5.29166666666667,5.05875086221999,21.1313526025124,20,0,8.14677290158799,0
14,10.2709558292055,2.60204920922036,5,5.33333333333334,5.06894326884915,21.1619915810991,20,0,8.78184935379269,0
14.5,10.2906323923899,2.75358428620326,5,5.375,5.07974710137057,21.1952236223541,20,0,9.3673771531933,0
15,10.3113260080529,2.89591298950495,5,5.41666666666667,5.09112717534364,21.2309532271223,20,0,9.91290343033175,0
15.5,10.3329810535473,3.03045772941197,5,5.45833333333334,5.10305367034919,21.2690901911834,20,0,10.4252867622178,0
16,10.355549728529,3.15831317734174,5,5.5,5.1155008917268,21.3095482988627,20,0,10.9096478258831,0
16.5,10.3789904018607,3.28034266651886,5,5.54166666666667,5.12844639804709,21.352244502205,20,0,11.3699274384303,0
17,10.4032664071616,3.39724097657223,5,5.58333333333334,5.14187036639297,21.3970983921208,20,0,11.8092335994679,0
17.5,10.4283451418212,3.50957680107054,5,5.625,5.15575511823463,21.444031850532,20,0,12.23006751566,0
18,10.4541973778664,3.61782239458989,5,5.66666666666667,5.17008475723884,21.4929688173778,20,0,12.634476483854,0
18.5,10.4807967247397,3.72237483178931,5,5.70833333333334,5.18484488721906,21.5438351317947,20,0,13.0241606205236,0
