Variable,Value
C_LCpCA,0.000000
C_MCp2CA,0.000000
C_MCp1CA,0.000000
C_HCpCA,0.000000
C_CpCA,0.000000
C_BufCA,0.000000
C_LBkCA,0.000000
C_MBkCA,-27687681.862270
C_HBkCA,-27687681.862270
C_BkCA,-55375363.724539
C_Disp1CA,197462500.000000
C_Disp2CA,0.000000
C_DispCA,197462500.000000
C_LH2TkCA,0.000000
C_LH2PpCA,0.000000
C_LH2VapCA,0.000000
C_LH2CA,0.000000
C_ElecCA,29788865.702787
C_ElecOP,-1.#IND00
WonOPEX,674853953.518754
WonCAPEX,284983726.188781
NPV,0.000001
BCR,1.464776
IRR,0.428437
yr_Payback,3.466068
